Number,Width,Length,Height,Price,Description,Weight
PSL1100,11.00,12.50,2.50,141.67,"Posi-Lok Permanent Lock",1.80
Q4040410,3.25,10.00,1.00,23.33,"Accessory Drive Belt",0.30
Q4040412,3.00,20.00,0.50,21.67,"Accessory Drive Belt",0.20
Q4050715,3.25,9.00,1.00,38.33,"Accessory Drive Belt",0.40
Q4060785,3.25,10.50,1.00,36.67,"Accessory Drive Belt",0.60
Q4060978,3.25,22.00,1.00,48.33,"Accessory Drive Belt",0.70
QJ98SJM,4.50,9.00,3.00,35,"Door Handle",0.60
QJ99SJM,4.00,8.75,2.50,35,"Door Handle",0.60
QK02SBK,4.50,9.00,3.00,35,"Door Handle",0.70
QK03SBK,4.50,9.00,3.00,35,"Door Handle",0.60
S2RE14MCC5,1.00,1.00,4.00,5,"Spark Plug",0.10
SP00RC9MC,1.00,3.50,1.00,4.67,"Spark Plug",0.10
SPLZTR5A13,1.00,3.75,1.00,12.5,"Spark Plug",0.10
SPRE10MCC5,1.00,3.75,1.00,6,"Spark Plug",0.10
SZFR5LP13G,1.00,3.75,1.00,7.17,"Spark Plug",0.10
WB000024AB,2.00,25.00,1.00,10.83,"Wiper Blade",0.40
WSHA1,1.25,8.00,1.00,10,"Wiper Arm",0.10
WSHB1,2.00,0.25,9.75,6.25,"Wiper Blade",0.50
TK40,10.00,14.00,5.50,66.67,"Tune Up Kit",3.20
YJSU1,8.25,12.00,7.00,158.33,"Fuel Sending Unit",1.60
TK41,10.00,14.00,5.50,70,"Tune Up Kit",2.80
4713023,11.00,22.75,0.50,60,"Engine Gasket Set",0.70
5252948,7.50,32.50,7.50,190.67,"Axle Shaft",18.60
5252949,7.50,33.00,7.50,190.67,"Axle Shaft",19.00
83502882,7.00,31.00,7.00,183.33,"Axle Shaft Assembly",19.10
231MASKIT,5.00,8.00,7.00,148.33,"Transfer Case Overhaul Kit",3.90
242LMASKIT,6.00,4.25,8.00,113.33,"Transfer Case Overhaul Kit",2.90
249EMASKIT,6.00,8.00,4.25,116.67,"Transfer Case Overhaul Kit",3.10
249LMASKIT,6.00,8.00,4.50,131.67,"Transfer Case Overhaul Kit",3.56
3171166K,6.00,8.00,4.50,130,"Differential Overhaul Kit",4.10
TK42,10.25,14.00,5.50,41.67,"Tune Up Kit",2.70
3184909K,14.00,14.00,4.00,233.33,"Clutch Kit",23.00
TK43,10.00,14.00,5.50,65,"Tune Up Kit",3.20
TK44,10.00,14.00,5.50,136.67,"Tune Up Kit",4.40
3240278MK,12.50,12.50,5.00,212.5,"Clutch Kit",22.00
3242300K,12.00,13.00,1.75,63.33,"Timing Chain Kit",3.30
RT23001,7.50,32.00,7.00,400,"Axle Shaft Kit",34.00
4686045,7.00,9.00,4.50,183.33,Starter,8.50
RT23005,8.50,36.75,8.00,400,"Axle Shaft Kit",40.00
4897220AAK1,17.00,30.00,6.00,573.33,"Viscous Coupling Kit",14.30
4897220AAK2,8.00,14.00,5.25,750,"Viscous Coupling Kit",16.30
4897221AAK1,7.75,8.25,4.75,558.33,"Viscous Coupling Kit",14.60
4897221AAK2,8.00,14.00,5.25,727.92,"Viscous Coupling Kit",18.60
5012329AAK1,7.50,8.25,4.25,463.33,"Progressive Coupling Kit",17.10
5012329AAK2,8.00,13.75,5.25,600,"Progressive Coupling Kit",20.60
5066699AA,3.00,3.00,3.00,25,"Brake Caliper Rebuild Kit",0.40
5066700AA,3.50,3.50,3.50,8.17,"Brake Caliper Seal Kit",0.10
TK45,10.00,14.00,5.50,98.33,"Tune Up Kit",3.30
5093184AA,3.25,3.25,3.25,10.83,"Brake Caliper Pin Kit",0.60
TK46,10.00,14.00,5.50,60,"Tune Up Kit",3.00
52001174K,3.00,16.00,2.00,35,"Nut Strip Set",2.00
52019201KX,13.50,14.00,3.00,99.32,"Engine Mount Kit",10.80
52019276K,6.00,8.00,4.50,70,"Engine Mount Kit",5.60
52059226KE,8.00,12.00,7.00,113.33,"Engine Mount Kit",19.00
52104289AG,13.50,0.88,3.50,200,"Clutch Kit",14.90
53020444KE,12.00,13.00,1.75,65,"Timing Chain Kit",3.90
53020444KL,12.00,13.00,1.75,103.33,"Timing Chain Kit",3.40
TK47,10.00,14.00,5.50,41.67,"Tune Up Kit",2.70
TK48,10.00,14.00,5.50,75,"Tune Up Kit",3.90
5357437K,14.00,14.50,4.00,281.67,"Clutch Kit",25.00
5453958K,6.00,30.00,5.00,85,"Wiper Linkage Kit",4.00
5453958KM,5.00,25.00,4.25,113.33,"Wiper Linkage Master Kit",2.10
5460087K,9.00,9.00,2.00,41.67,"Bezel Set",1.20
55020432K,26.00,64.00,6.00,320.83,"Windshield Frame Kit",32.00
55054886K,18.00,63.00,8.00,366.67,"Header Panel Kit",17.00
55055032AE,7.50,8.00,9.00,71.67,Headlight,2.40
55055033AE,8.00,7.50,9.00,71.67,Headlight,2.40
55155800K,19.00,55.00,11.00,678.33,"Header Panel Kit",17.00
55176636K,2.25,7.00,2.25,17.5,"Hood Catch Kit",0.40
55254918K,27.00,46.00,5.00,150,"Fender Flare Kit",13.00
55254918K6,25.00,45.00,4.00,158.33,"Fender Flare Kit",13.00
55254918K76,27.00,51.00,8.00,233.33,"Fender Flare Kit",21.00
56003104K,9.00,10.00,3.00,30,"Headlight Bezel Kit",0.40
5965338K,8.00,8.50,3.50,26.5,"Rearview Mirror Kit",0.90
5AGK,26.00,5.00,46.00,115,"Fender Flare Kit",9.60
6035757K,2.50,3.00,1.50,24.92,"Windshield Frame Screw Kit",0.30
68003706AA,3.25,3.25,1.25,7.5,"Brake Caliper Pin Kit",0.30
7086BK,5.00,5.00,2.00,71.67,"Axle Shaft Bearing Kit",2.00
J0912340,4.75,4.75,1.00,28.33,"Synchronizer Blocking Ring",0.80
26019852,6.00,6.00,2.50,115,"Differential Gear Set",4.90
33002970,1.00,1.00,0.12,0.92,"Oil Filter Adapter O-Ring",0.10
53000604,2.00,2.50,1.00,9.17,"Shift Knob",0.30
83504032K,11.00,22.50,0.75,25,"Transmission Filter Kit",1.00
8953001420K,14.00,14.00,3.00,186.67,"Clutch Kit",15.00
B0015387,3.00,17.00,0.50,7.08,"Accessory Drive Belt",0.20
8983501398K,6.00,29.00,5.00,70,"Valve Cover Kit",3.00
8993023K,8.00,9.00,3.50,26.67,"Rearview Mirror Kit",1.20
926671K,3.50,3.75,1.75,7.33,"Transfer Case Mount Kit",0.80
B0015375,3.00,16.00,0.50,7.08,"Accessory Drive Belt",0.20
4761941,7.75,8.00,5.00,108.33,"Brake Master Cylinder",1.90
AX15BK,6.00,6.25,3.00,191.67,"Transmission Overhaul Kit",5.00
1AT17080B,4.75,4.75,1.50,108.33,"Synchronizer Assembly",3.56
231GS,6.00,5.50,2.50,43.33,"Transfer Case Gasket & Seal Kit",0.90
AX15GS,3.50,8.00,1.50,20,"Transmission Gasket & Seal Kit",0.40
BA105MASKIT,6.00,8.00,4.25,400,"Transmission Master Overhaul Kit",4.50
BA10GS,3.75,8.25,1.75,20,"Transmission Gasket & Seal Kit",0.50
55055274K,7.50,8.00,5.00,208.33,"Fog Light Set",2.40
BKAX5L,6.00,6.25,3.00,165,"Transmission Overhaul Kit",3.60
BKT170,12.00,13.00,1.50,116.67,"Transmission Overhaul Kit",4.40
BKT5M,6.00,6.50,3.00,191.67,"Transmission Overhaul Kit",3.30
D18EMASKIT,12.00,13.00,2.00,191.67,"Transfer Case Overhaul Kit",5.20
J0645218,0.50,1.75,0.50,0.83,"Tie Rod Clamp Bolt",0.10
J0734610,10.25,10.25,2.50,90,"Pressure Plate",8.30
J0805635,5.00,5.50,1.75,12.33,"Shock Absorber Bracket",1.30
D30LMASKIT,6.00,8.00,4.25,141.67,"Differential Overhaul Kit",5.10
J3173532,2.25,2.25,0.75,2.77,"Wheel Bearing Seal",0.10
J3180416,0.25,7.75,0.25,2.5,"Push Rod",0.10
D35MASKIT,11.00,13.00,2.50,161.67,"Differential Overhaul Kit",4.90
4762537,6.50,11.00,3.75,41.95,"Brake Shoe Set",2.80
D35PBK,6.00,8.00,4.25,86.67,"Pinion Bearing Kit",2.30
J3231636,0.75,1.00,0.75,35,"Pitman Arm",0.10
D35WJABK,6.00,8.00,4.25,76.67,"Axle Shaft Bearing Kit",1.70
D35WJBK,3.00,3.00,2.00,60,"Axle Shaft Bearing Kit",0.90
D35WJMASKIT,5.00,8.00,6.00,241.67,"Differential Overhaul Kit",5.80
D44TJMASKIT,4.50,8.00,6.00,291.67,"Differential Overhaul Kit",8.70
D44WJMASKIT,5.00,8.00,6.00,241.67,"Differential Overhaul Kit",6.70
J0758977K,7.00,11.50,6.50,30,"Coolant Bottle Kit",1.20
J0801345,3.00,6.00,0.50,13.33,"Exhaust Manifold Gasket Set",0.10
J0805123,2.50,8.00,2.50,81.67,"Sector Shaft Kit",1.60
J8134675,2.25,2.25,0.50,5.83,"Oil Pump Seal",0.10
J8993317,2.00,6.25,1.50,7.5,"RTV Sealant",0.30
J9471777,0.75,1.25,0.75,1.25,Bulb,0.10
L0000067,0.50,1.50,0.50,1.58,Bulb,0.10
J0915762,7.00,7.00,5.00,25,"Steering Bellcrank Repair Kit",0.80
J0916646,4.00,1.50,4.00,15,"Shackle Kit",1.20
TC272915,7.00,12.00,5.50,19.4,"Tire Cover",1.56
J0920556,4.00,4.00,1.75,28.33,"Steering Bellcrank Repair Kit",1.30
J0923300,9.50,11.00,1.00,14.17,"Transfer Case Gasket & Seal Kit",0.40
4801651AA,5.00,10.25,5.00,200,Starter,6.60
J0991381,5.00,4.00,1.50,40,"Steering Bellcrank Repair Kit",1.60
J3204833,4.00,4.00,1.50,10.83,"Steering Box Seal Kit",0.10
J5352665,5.00,56.00,3.25,125,"Tie Rod Assembly",14.10
J5355714,14.25,14.50,4.50,183.33,"Hub & Drum Assembly",30.00
J5356105,3.50,32.00,2.00,56.67,"Drag Link Assembly",4.80
TK5,10.00,14.00,5.50,75,"Tune Up Kit",4.20
5093448K5,2.50,4.50,1.25,28.33,"Connecting Rod Bearing Set",0.38
J8124898,3.25,3.25,1.25,20,"Synchronizer Blocking Ring Set",0.30
J8125030,0.50,9.50,11.00,20,"Transfer Case Gasket & Seal Kit",0.40
5093448K75,2.25,4.25,1.25,28.33,"Connecting Rod Bearing Set",0.30
5143544AC,2.50,4.00,2.50,63.33,"Expansion Valve",0.50
J8125722,11.00,31.00,3.00,30,"Engine Gasket Set",3.00
J8126499,3.25,1.25,3.25,38.33,"Pinion Bearing Kit",1.20
55395401AE,5.00,15.00,2.25,41.67,"Tailgate Hinge",2.70
68028831AC,3.00,15.00,2.25,38.33,"Tie Rod",1.80
J8126668,2.00,5.75,1.00,10.83,"Clutch Rod",0.30
55038119AA,6.25,14.00,5.75,21.67,"Radiator Hose",0.80
5137671AB,7.55,9.25,5.00,125,"Brake Caliper",5.90
1157NA,3.25,3.25,1.25,2.17,Bulb,0.06
J8127356,3.25,3.25,1.50,11.67,"Spindle Bearing Kit",0.20
J8127403,3.00,3.00,1.50,25,"Synchronizer Blocking Ring Set",0.40
J8127598,6.00,25.50,4.25,223.33,"Axle Shaft Assembly",11.10
J8129097,9.50,11.00,0.50,6.5,"Timing Cover Gasket Kit",0.20
J8129098,9.50,0.50,11.00,7,"Timing Cover Gasket Kit",0.20
4792779AA,12.25,12.50,5.00,141.67,"Exhaust Manifold",10.56
J8129383,2.50,4.00,2.50,5,"Fuel Filter Kit",0.30
J8130157,1.75,3.50,4.00,8.17,"Steering Box Seal Kit",0.30
J8130995,10.00,1.25,13.00,13.33,"Transfer Case Gasket & Seal Kit",0.30
J8133708,4.00,6.50,0.25,4.3,"Shift Fork Kit",0.10
J8134015,3.25,1.25,3.25,23.33,"Bearing Set",0.60
5017832AA,7.00,9.00,5.50,130,"Brake Caliper",7.81
J8134295,3.50,50.00,2.00,76.67,"Tie Rod Assembly",5.80
J8136650,7.50,8.00,5.00,81.67,Hub,7.60
4809118AD,5.25,25.00,4.00,36.4,"Fuel Filter",0.90
SR4MASKIT,12.00,13.00,1.75,158.33,"Transmission Master Overhaul Kit",2.90
SRKAX15,3.75,3.75,2.00,60,"Synchronizer Repair Kit",1.00
SRKAX15L,3.75,3.75,2.00,56.67,"Synchronizer Blocking Ring Set",1.00
T150MASKIT,12.00,13.00,1.50,113.33,"Transmission Master Overhaul Kit",3.00
J8126515,10.50,11.00,9.00,158.33,"Differential Case Kit",9.40
T150MK,4.25,1.75,4.00,56.67,"Small Parts Master Kit",0.70
T15AMK,4.75,4.75,2.00,48.33,"Small Parts Master Kit",1.30
T17050MK,3.75,3.75,1.50,40,"Small Parts Master Kit",0.90
T4T5GS,3.50,8.25,1.50,11.67,"Transmission Gasket & Seal Kit",0.40
T450,3.25,3.25,1.50,60,"Small Parts Kit",0.50
TK50,10.00,14.00,5.75,41.67,"Tune Up Kit",2.90
TK6,10.00,14.00,5.50,71.67,"Tune Up Kit",4.40
TK8,10.00,14.00,5.50,66.67,"Tune Up Kit",3.90
TK9,10.00,14.00,5.50,66.67,"Tune Up Kit",3.90
4593777,5.50,5.50,5.50,121.67,"Hub Assembly",6.00
RT26001,13.00,20.50,5.00,65,"Cowl Scoop",2.20
J8132404,1.00,1.00,0.06,0.75,"Reverse Idler Gear Washer",0.10
4861737AA,10.00,13.00,2.00,17.5,"Air Filter",0.81
5003336AB,4.25,4.25,4.25,108.33,Yoke,2.00
68064763AA,7.00,7.00,5.00,150,"Fan Clutch",3.10
55396536AI,15.50,20.00,9.50,233.33,Headlight,7.60
55396537AI,15.50,20.00,9.50,233.33,Headlight,6.50
RT34046,7.00,61.00,1.00,113.33,"Rocker Panel Overlay Set",5.60
55396459AH,13.50,18.00,6.25,110,"Tail Light",3.30
1NT49AXRAI,11.25,15.50,7.00,111.67,Mirror,3.88
4612461,3.00,8.00,0.75,8.5,"Accessory Drive Belt",0.20
5KFKRR,19.50,45.00,7.00,133.33,"Fender Flare Set",8.10
D44JKBK,3.00,3.00,3.00,60,"Axle Shaft Bearing Kit",1.30
56041693AC,8.25,8.75,8.25,296.67,Alternator,14.10
68159526AB,4.00,9.75,3.25,46.67,"Brake Pad Set",3.75
5FW72DX9AD,15.00,40.00,5.00,53.33,"Fender Flare",1.40
5FW73DX9AD,15.00,40.00,5.00,53.33,"Fender Flare",1.40
5FW76DX9AC,14.00,38.00,4.00,60,"Fender Flare",1.20
RT30010,4.05,2.75,4.00,18,"Mirror Relocation Bracket Set",2.88
4861277AD,6.00,6.50,3.00,45,"Drive Belt Tensioner",1.66
68046195AF,11.00,11.50,4.50,96.67,"Control Arm",5.88
68078284AA,4.50,8.00,2.75,10.83,"Fog Light Bezel",0.13
56042301AG,6.00,8.00,4.25,103.33,"Multifunction Switch",0.60
56042300AG,5.50,8.50,3.00,73.33,"Multifunction Switch",0.40
52100009AC,9.50,28.00,2.00,21.67,"Fuel Tank Strap",1.80
J3218732,1.75,5.00,1.75,18.33,"Intake Valve",0.30
5066901AA,8.75,17.75,0.50,25,"Engine Oil Pan Gasket",0.13
4792874AA,11.50,24.25,1.75,43.33,"Engine Oil Pan Gasket",2.63
55037992AD,25.00,30.00,5.75,266.67,"Cooling Fan Module",11.00
68157291AA,4.00,5.50,4.00,40,"Fuel Filter",0.56
4666102AA,12.75,13.00,3.00,163.33,Flywheel,32.00
5012828AC,8.50,8.75,5.50,583.33,"Ring & Pinion Kit",12.30
68004203AB,1.25,17.50,1.00,9.17,"Mode Cable",0.10
68004204AB,1.25,19.50,1.00,7.67,"Temperature Control Cable",0.10
68091827AA,2.75,6.50,2.75,15,"Oil Filter",0.19
5066492AB,8.00,8.50,5.50,441.67,"Ring & Pinion Kit",12.50
68030655AA,20.00,21.75,3.50,75,"Window Regulator",3.81
68032207AA,0.25,0.25,0.25,2,"Fuel Injector O-Ring",0.02
55369597AC,37.75,47.75,13.25,120,Fender,9.00
4806164AJ,13.50,18.00,8.00,216.67,Headlight,5.90
4707839AA,3.00,3.00,2.00,43.33,"Vehicle Speed Sensor",0.10
5086674AB,3.00,4.00,2.75,50,"Ball Joint",1.81
5143311AF,3.50,8.00,3.00,90,"Multifunction Switch",0.30
4762551,3.00,3.00,3.00,18.33,"Brake Caliper Piston",0.40
5143312AF,4.00,8.00,3.00,100,"Multifunction Switch",0.30
5072958AC,4.75,8.25,2.50,48.33,"Ball Joint",1.69
5011987AA,1.75,3.00,0.12,3.33,"Silicone Grease Pack",0.10
68156902AA,4.25,6.00,2.00,25,"Tie Rod End",1.50
4895041AF,18.00,31.25,5.25,150,"Control Arm",19.00
4895040AF,18.00,31.25,5.25,150,"Control Arm",19.00
SPFR8T1332,1.00,3.75,0.25,11.33,"Spark Plug",0.13
5066334AA,9.00,19.00,9.00,50,Strut,10.20
55079379AE,15.50,20.00,10.00,275,Headlight,6.30
68088868AA,15.25,20.00,9.75,215,Headlight,6.30
68033744AB,15.00,79.50,14.00,150,Fascia,8.40
68088869AA,15.25,20.00,9.75,215,Headlight,6.30
52098776,8.00,8.50,8.00,120,"Differential Case",12.50
5KF16RXFAE,27.00,51.00,8.00,65,"Fender Flare",5.20
5KF17RXFAE,27.00,51.00,8.00,65,"Fender Flare",5.20
RT28040,14.25,41.00,6.00,1000,"Grille & Led Light Bar Kit",10.00
RT28046,4.50,4.50,2.50,131.67,"LED Fog Lamp Bulb Kit",0.25
55027207K,8.00,9.00,3.75,41.67,"Mirror Set",1.30
5180606AB,3.50,19.00,3.50,91.67,"Tension Strut",5.40
5180607AB,3.50,19.00,3.50,91.67,"Tension Strut",5.40
BT10001,11.00,12.00,3.50,48.45,"Beach Topper",3.63
BT10101,12.00,12.00,4.25,48.45,"Beach Topper",3.50
BT10201,11.00,12.00,3.50,48.45,"Beach Topper",3.44
BT20001,11.00,12.00,3.75,48.45,"Beach Topper",3.56
BT20009,11.00,12.00,3.75,42.83,"Beach Topper",3.50
5115663AC,30.00,46.00,9.00,116.67,Fender,7.00
RT28068,3.00,5.00,2.25,96.67,"LED Bulb Kit",0.13
BT40015,11.00,12.00,3.75,46.38,"Beach Topper",3.63
BT40035,11.00,12.00,3.75,52.5,"Beach Topper",3.50
55369218AB,30.00,51.00,8.00,125,Fender,6.60
5014402AA,8.00,8.00,5.00,658.33,"Ring & Pinion Kit",9.80
5140028AA,7.00,13.00,3.00,53.33,"Crankshaft Retainer  & Seal Kit",1.50
CA10335,11.50,15.25,7.00,218.33,"Cover All Kit",6.60
CB10011,12.00,12.00,8.50,60,"Combo Beach Topper",4.06
CB20011,12.00,12.00,8.50,60,"Combo Beach Topper",4.00
4805856AA,5.00,5.25,5.00,63.33,"Fog Light",0.60
5105572AA,5.00,5.00,2.00,31.67,"Wheel Speed Sensor",0.31
CB20015,12.00,12.00,8.50,84,"Combo Beach Topper",6.88
CB30011,12.00,12.00,8.50,43.33,"Combo Beach Topper",3.81
CB30036,12.00,12.00,8.50,104.25,"Combo Beach Topper",6.75
CB30035,12.00,14.00,9.00,104.25,"Combo Beach Topper",8.06
53034095AA,6.00,15.00,0.75,25,"Accessory Drive Belt",0.56
4892146AA,6.00,19.00,0.88,11.67,"Valve Cover Gasket",0.19
CB30135,12.25,12.25,8.50,107.53,"Combo Beach Topper",9.00
CB30136,12.00,14.00,9.00,122.18,"Combo Beach Topper",9.13
56032520AC,6.00,6.50,3.00,70,"Ignition Coil",3.30
4612669,3.00,10.00,1.00,20.1,"Accessory Drive Belt",0.30
CT20009T,29.50,40.00,11.50,920.93,"Complete Top",65.00
4792778AA,11.00,15.50,7.00,141.67,"Exhaust Manifold",10.50
5093254AB,5.50,5.75,2.50,100,Clockspring,0.50
4779196AE,13.00,13.00,2.50,65,"Brake Rotor",18.00
5105062AC,5.50,5.75,2.50,23.33,"Wheel Speed Sensor",0.31
5105063AD,4.50,4.50,2.00,21.67,"Wheel Speed Sensor",0.31
68083884AA,0.63,18.00,0.63,36.67,"Liftgate Glass Support",0.38
68184746AA,7.50,8.00,4.50,150,"Hub Assembly",10.00
RT28003,5.00,5.00,2.00,18,"Windshield Light Mount Bracket Set",1.50
68003527AA,13.00,13.50,3.50,233.33,"Differential Gear Kit",4.60
CT20137,30.00,50.00,9.50,965.03,"Complete Top",74.00
4720598,1.25,2.50,1.25,18.33,"Coolant Temperature Sensor",0.06
4677692AA,21.50,37.25,7.50,200,Radiator,16.00
4578601AA,5.75,29.00,4.75,125,"Axle Shaft Assembly",14.50
5143570AA,2.50,8.00,2.50,40,"Ball Joint",2.19
4895415AB,1.50,1.50,0.25,0.92,"Control Arm Spacer",0.10
CT20236T,30.00,50.00,9.50,965.03,"Complete Top",74.00
6508863AA,0.50,1.00,0.50,1.58,Retainer,0.02
53032152AD,2.50,4.00,2.50,115,"Multiple Displacement Solenoid",0.50
52059999AC,5.50,5.75,2.50,10.83,"Coil Spring Isolator",0.90
5106023AA,13.50,13.50,3.50,383.33,"Modular Clutch",23.50
4612727,3.00,11.50,0.50,10,"Accessory Drive Belt",0.30
68002763AA,2.00,2.50,2.00,25,"Map Sensor",0.06
68042866AB,9.00,10.00,1.25,15.83,"Cabin Air Filter",0.30
RT33017,7.00,13.50,3.00,40,"Snatch Block Kit",8.00
RT33018,5.50,22.00,4.00,33.33,"Recovery Strap",4.38
5183276AA,2.00,24.00,0.75,15,"Wiper Blade",0.20
4660007AA,6.00,6.50,3.00,108.33,"Clutch Master Cylinder",0.50
4637527,4.50,4.50,2.00,183.33,"Fifth Gear Counter",3.81
DF100YJ,28.00,39.50,4.50,94.05,"Door Frame Set",12.00
DF200TJ,28.00,36.00,4.25,117.52,"Door Frame Set",18.00
DS10015,27.00,40.00,2.00,136.97,"Door Skin Set",8.75
J3181643,0.75,0.75,0.50,0.67,"Hose Clamp",0.02
G455313,0.25,1.75,0.25,0.75,"Differential Shaft Pin",0.10
J8127434,0.25,1.00,0.25,0.27,"Roll Pin",0.02
DS10115,26.50,37.00,2.00,177.45,"Door Skin Set",7.38
DS10135,27.00,37.50,2.00,129.25,"Door Skin Set",7.19
DS10137,26.75,37.50,2.50,177.45,"Door Skin Set",6.60
4612746,6.75,7.50,5.00,67.6,"Engine Mount",4.00
FC10009,12.00,16.50,11.00,73.44,"Full Car Cover",8.10
5137608AB,2.50,4.50,0.75,19.17,"Brake Caliper Pin Kit",0.44
68033230AB,18.00,31.50,5.00,246.67,"A/C Condenser",6.00
J0804622,0.50,12.00,0.50,6.25,"Push Rod",0.20
5140863AA,5.50,7.00,3.50,40,"Brake Hose",0.20
68151945AA,3.25,3.25,1.50,16.67,"Brake Pad Clip Kit",0.10
52058121AB,4.75,50.75,3.50,96.67,Crossmember,10.40
55395101AB,12.50,12.50,3.75,65,"Windshield Frame Weatherstrip",1.90
53010553AB,4.00,6.00,4.00,23.33,"Thermostat Housing",0.60
56041436AC,7.50,8.00,4.25,150,Starter,6.90
56046956AF,3.25,3.25,1.25,133.33,"Key Fob",0.13
68105078AF,3.25,3.25,1.25,113.33,"Key Fob",0.13
68273101AA,5.00,10.50,4.00,63.33,"Brake Pad Set",2.19
68019678AE,3.00,3.50,2.88,43.33,"Headlight Switch",0.25
68042171AE,11.25,15.00,7.00,266.67,"Tail Light",3.80
5139148AA,6.50,10.50,6.00,125,"Brake Master Cylinder",2.40
5139153AA,6.50,10.50,6.00,141.67,"Brake Master Cylinder",2.40
56054002AA,4.00,4.00,4.00,91.67,"Window Switch",0.38
4616402,3.50,20.00,3.50,100,"Control Arm",4.90
RT10009,9.50,36.00,9.25,445.48,"Replacement Soft Top",21.30
4895422AA,4.50,4.50,2.00,10.83,"Coil Spring Isolator",0.40
RT10015,9.25,36.00,9.25,417,"Replacement Soft Top",20.50
4782363AD,11.00,14.00,1.25,40,"Power Steering Return Hose",0.70
RT10115T,9.50,36.00,9.00,409,"Replacement Soft Top",20.50
68033171AB,6.00,6.50,3.00,58.33,"Tie Rod End",1.50
RT10315,10.00,36.00,10.00,409,"Replacement Soft Top",20.00
4667283,6.00,6.00,3.00,98.33,"Timing Belt Tensioner",0.90
52090304AG,6.00,6.00,6.00,58.33,"Engine Mount",3.80
52090305AG,6.50,11.00,5.50,58.33,"Engine Mount",4.60
RT10336,9.00,36.00,9.00,521.49,"Replacement Soft Top",19.00
4616403,3.75,20.25,3.50,100,"Control Arm",5.10
WB20035,12.00,21.00,2.00,35.2,Windbreaker,2.00
BRT10135T,10.00,40.00,10.00,803.33,"Bowless Soft Top",31.50
RT10635T,12.00,32.00,10.25,658.42,"Replacement Soft Top",25.50
68011583AD,12.75,14.50,6.25,200,"Fuel Module",4.00
52109746AB,12.25,12.50,5.00,200,"Clutch Hydraulic Assembly",2.60
SB20035,11.00,12.00,3.50,59.85,"Soft Top Storage Sleeve",2.81
RT26078,13.50,28.50,1.50,288,"Grille Inserts",4.00
D44TJDBMASKIT,13.50,14.00,3.00,483.33,"Differential Overhaul Kit",11.00
RT20029,14.00,77.00,7.50,216.67,"Rocker Panel Guard Set",69.40
52022378AA,7.63,11.13,1.75,22.5,"Air Filter",0.69
52079403,4.00,14.00,2.50,26.67,"Radiator Hose",0.80
83500975,3.25,10.50,3.25,105,"Input Shaft",3.00
4636865,3.50,4.50,12.00,63.33,"Clutch Master Cylinder",0.90
5006950K,6.00,7.75,4.19,48.33,"Leaf Spring Bushing Kit",3.00
TN10037,11.00,12.00,6.50,59.75,"Tonneau Cover",4.30
6505822AA,0.88,0.88,0.50,2.08,Nut,0.10
J0645623,6.00,6.50,3.00,35,"Crankshaft Pulley",1.40
6034204,0.25,1.00,0.25,0.7,Screw,0.10
TN10135,14.50,14.50,5.00,61.55,"Tonneau Cover",4.94
RT31014,14.00,15.00,5.00,316.67,"Performance Brake Kit",30.00
4161678,2.25,25.50,1.00,30.83,"Door Glass Weatherstrip",0.30
4161679,2.00,26.00,1.00,30.83,"Door Glass Weatherstrip",0.30
68157856AA,4.75,15.00,4.00,40,"Tie Rod",2.00
4460347R,3.00,3.00,2.00,10.05,"Vehicle Speed Sensor Connector",0.10
WB10035,12.00,21.00,2.00,60.83,Windbreaker,3.69
RT28086,4.00,4.00,4.00,41.67,"LED Cube Spot Lamp",1.60
WB10037,12.00,21.50,2.00,56.67,Windbreaker,3.69
52107662AC,14.25,14.75,4.50,163.33,"Clutch Hydraulic Assembly",2.60
56044734AA,5.75,10.25,4.75,125,Starter,6.40
5191221AA,0.75,0.88,0.75,1.92,"Brake Pad Spring",0.02
68066693AA,4.00,6.00,4.00,25,"Steering Stabilizer Bracket",1.40
68111468AA,22.00,75.00,8.50,212,Fascia,3.00
2441025000,3.00,3.00,2.00,56.67,"Timing Chain Tensioner",0.56
52028412,12.00,20.00,4.50,98.33,"Power Steering Pressure Hose",1.00
52088021AB,12.00,26.50,4.50,158.33,"Power Steering Pressure Hose",1.00
68041485AD,6.00,8.00,4.25,75,"Multifunction Switch",0.56
55077261AA,2.25,3.50,0.50,6.67,"Windshield Reservoir Cap",0.02
53013690AA,3.25,3.25,1.25,80,"Fuel Injector",0.10
J5362173,1.25,6.50,1.25,11.67,"Turn Signal Lever",0.10
RT34015,8.00,8.75,3.00,24,"Tailgate Tire Stop",3.60
55395032AI,9.50,11.00,4.00,60,"Cowl Weatherstrip",2.20
68031593AA,2.25,2.50,2.00,75,"Air Temperature Sensor",0.10
4578034AE,5.75,41.50,5.75,148.33,"Axle Shaft Assembly",25.00
56009214,2.50,6.50,2.25,96.67,"Headlight Switch",0.50
4717961AC,4.50,4.50,2.00,70,"Door Lock Actuator",0.40
53002711,13.50,14.00,3.25,95,"Pressure Plate",12.40
5175589AA,3.00,3.00,2.00,24.17,"Drive Belt Idler Pulley",0.30
68194821AA,2.38,1.63,0.50,2.5,"Floor Pan Plug",0.06
4854180,2.50,17.00,1.00,12,"Crankcase Vent Tube",0.20
53013797AB,6.50,15.25,3.25,5.83,"Crankcase Vent Tube",0.10
