Number,Width,Length,Height,Price,Description,Weight
5115662AC,31.00,47.00,8.50,116.67,Fender,8.00
5183761AB,5.50,5.75,2.50,20,"Tie Rod End",0.10
52111336AA,1.50,1.50,0.75,4.17,"Pinion Crush Sleeve",0.10
52000706AB,9.50,52.00,3.00,116.67,"Leaf Spring Assembly",30.00
4874405,3.50,3.50,0.75,65,"Synchronizer Cone",0.10
52114077AA,1.25,30.50,1.25,116.67,"Axle Shaft",11.50
52040407K,8.00,13.50,5.00,158.33,"Leaf Spring Mounting Kit",22.80
5114461AA,20.25,27.00,16.25,650,"Front Pipe",17.00
5011214AA,2.00,2.50,2.00,15.83,"Blower Control Switch",0.13
55397226AA,2.00,2.50,0.50,3.33,"Floor Pan Plug",0.10
RT21035,6.00,12.50,5.25,116.67,"Lift & Level Kit",8.80
55157072AG,10.00,16.00,7.00,148.33,Mirror,3.90
4792922AA,4.00,4.00,1.75,7.5,"Water Pump Gasket",0.10
4781029AB,2.25,7.00,2.00,22.5,"Exhaust Valve",0.19
4798282,32.00,96.00,6.00,275,"Side Panel",22.00
984705,21.00,48.00,19.00,225,Fender,8.20
RT31019,12.00,14.00,2.00,23.33,"Parking Brake Cable",1.30
56041393AA,2.00,2.50,2.00,20,"Wheel Speed Sensor",0.06
RT31020,12.00,17.00,1.50,23.33,"Parking Brake Cable",0.80
RT31021,12.50,15.00,1.50,23.33,"Parking Brake Cable",1.30
RT31040,13.50,23.00,2.00,25,"Parking Brake Cable",1.50
RT31041,12.00,16.00,1.50,25,"Parking Brake Cable",1.40
T18,3.25,3.25,1.25,66.67,"Small Parts Kit",1.40
68223044AA,9.50,10.50,1.00,20,"Cabin Air Filter",0.31
52010,1.50,5.50,1.25,4.17,"Clutch Alignment Tool",0.10
53006,1.50,5.50,1.25,4.17,"Clutch Alignment Tool",0.10
5011218AC,1.25,1.50,1.00,4.67,"HVAC Control Knob",0.02
DS10037,26.50,40.50,2.50,177.45,"Door Skin Set",9.00
55038729AA,8.00,18.00,3.00,90,"Air Charge Cooler Inlet Hose",0.80
RT26055,6.75,15.50,5.75,79.89,"Grille Insert Set",1.60
68003282AA,0.75,2.00,0.75,2.08,"Wheel Stud",0.13
68110016AD,13.00,18.25,8.00,291.66,"Tail Light",3.75
5182542AC,14.25,14.50,6.25,283.33,"Tail Light",4.00
5182543AC,14.25,14.50,6.25,283.33,"Tail Light",4.00
56029447AF,5.00,5.00,2.00,31.67,"Wheel Speed Sensor",0.19
5105667AG,7.50,8.00,4.50,66.67,"Transmission Mount",4.06
RT26051,8.00,8.75,3.50,113.33,"Fuel Door",1.10
RT26052,8.00,8.50,3.50,123.33,"Fuel Door",1.25
5189841AA,3.00,3.00,2.00,36.67,"Transmission Input Speed Sensor",0.13
68069648AB,2.50,4.00,2.50,43.33,"Ball Joint",3.63
CBXEF230AB,2.50,8.00,2.50,36.67,"Ball Joint",2.60
4560176AA,6.00,9.00,4.00,56.67,"Parking Brake Shoe Set",3.40
83501893K,5.00,10.00,2.00,113.33,"Piston Ring Set",0.69
5156113AA,28.75,44.50,8.75,286.67,"Radiator Support Frame",18.00
5156117AA,8.25,28.25,8.25,148.33,"Header Panel Bracket",4.63
RT34077,7.50,13.00,3.00,280,"Hood Set",6.20
5142601AA,6.25,6.50,6.25,93.33,"Thermostat & Housing",1.60
RT26058,10.50,76.00,7.25,266.67,"Side Steps",45.50
6506825K8,3.25,3.25,1.25,44.67,"Hard Top Hardware Kit",0.60
55397117AB,6.00,8.00,4.50,15,"Bumper Bracket",1.31
68003582AB,8.00,13.50,5.00,68.33,"Thermostat Housing Adapter",1.81
6506825K6,3.25,3.25,1.25,33.5,"Hard Top Hardware Kit",0.50
6506825MK,3.25,3.25,1.25,40,"Hard Top Hardware Kit",0.60
68014948AA,13.00,20.25,4.50,53.33,"Window Regulator",2.88
4627038AA,8.00,8.50,3.50,130,"Drive Belt Tensioner",2.80
5093904AA,3.25,18.50,0.25,9.67,"Exhaust Manifold Gasket",0.20
D44JK456F,11.25,16.50,7.00,316.67,"Ring & Pinion",16.50
55395241AE,13.50,15.00,4.00,65,"Cowl Weatherstrip",1.70
RT26036,2.25,23.25,1.50,20.83,"Entry Guard Set",1.10
116714,3.00,3.00,3.00,40,Yoke,1.30
52124596AA,3.00,3.00,3.00,11.33,"Fuel Cap",0.30
55077859AC,7.50,33.00,7.50,141.67,"Wiper Motor Assembly",7.00
RT20004,15.00,65.00,12.00,533.33,"HD Bumper & Tire Carrier",114.00
RT20009,20.50,66.50,13.00,366.67,"HD Bumper",69.50
6033862,0.75,1.00,0.75,2,Retainer,0.10
52124712AC,5.50,41.50,5.50,208.33,"Axle Shaft Assembly",27.80
52069888AB,1.31,1.31,0.13,3.33,"Axle Shaft Disconnect O-Ring",0.02
RT10015T,9.00,36.00,9.00,417,"Replacement Soft Top",19.50
RT10037,9.50,35.00,9.50,417,"Replacement Soft Top",20.00
5241062AB,11.00,20.50,0.50,15.42,"Oil Pan Gasket Set",0.56
5134701AB,12.00,15.00,0.50,23.33,"Parking Brake Cable",0.50
RT21030,3.25,24.00,3.00,76.67,"Shock Absorber",5.10
53021620AE,9.50,20.50,0.50,32.5,"Cylinder Head Gasket",0.80
53021621AE,9.50,20.50,0.50,32.5,"Cylinder Head Gasket",0.80
5155462AG,11.00,15.00,7.00,81.67,Mirror,3.90
55395703AD,0.75,1.50,0.75,11.67,"Door Hinge Pin Bushing",0.02
808770KL,12.50,13.50,8.00,183.33,"Drum Service Kit",24.00
RT34003,4.00,20.00,4.00,141,"Door Handle Kit",3.90
RT34004,8.00,13.50,5.00,213,"Door Handle Kit",6.70
4636864,3.50,4.50,12.25,63.33,"Clutch Master Cylinder",0.80
J3203079,2.75,3.25,1.75,1.58,"Hose Clamp",0.10
809236,0.75,3.25,0.75,0.82,"Shackle Bolt",0.13
941998,1.50,1.50,0.50,4.33,"Expansion Plug",0.10
4593914AB,5.50,7.00,5.50,21.67,"Air Filter",0.90
RT26042,13.00,20.50,4.00,90,"Grille Insert Set",3.00
52129183AG,14.25,14.75,4.50,215,"Clutch Hydraulic Assembly",2.60
RT31013,14.50,15.00,6.50,250,"Performance Brake Kit",33.00
53021779AC,11.00,18.50,8.25,55,"Engine Oil Pan",5.20
5191267AA,6.00,6.50,3.00,75,"Brake Caliper",3.60
68212326AA,3.25,3.25,1.50,28.33,"Brake Pad Spring Kit",0.13
RT31036,14.00,15.00,5.00,283.33,"Performance Brake Kit",41.00
52001915K,13.50,15.50,11.50,275,"Drum Service Kit",47.00
68203105AA,3.50,3.75,1.63,13.33,"Brake Caliper Pin Kit",0.19
68203087AA,3.50,3.75,1.63,19.17,"Brake Caliper Boot Kit",0.19
52001151K,13.00,13.50,8.00,191.67,"Drum Service Kit",40.00
68160691AA,3.50,6.75,1.63,5.25,"Brake Caliper Pin Kit",0.25
52088296,3.50,35.00,2.00,96.67,"Track Bar",8.00
68078950AA,7.50,9.25,7.00,308.33,Alternator,13.40
52089269K,14.50,14.50,5.00,233.33,"Disc Brake Service Kit",49.00
5072894AA,4.00,4.25,1.50,10,"Axle Shaft Retaining Ring",0.30
68052365AA,0.50,1.38,0.50,7.5,"Bleeder Screw",0.06
68019471AA,0.75,5.25,0.75,15.83,"Differential Shaft",0.60
52124754AC,4.00,4.00,4.00,13.33,"Cradle Bushing",1.19
6036155AA,0.62,1.00,0.62,0.75,Retainer,0.10
5014496AD,5.50,22.00,4.25,183.33,"Fuel Rail",1.40
6505539AA,0.75,1.00,0.75,2.5,Retainer,0.10
5083678AA,3.50,5.00,0.50,10.83,"Axle Shaft Retainer",0.40
55156429AA,1.00,1.25,0.75,1.33,Retainer,0.10
68003993AA,8.00,13.00,5.00,96.67,"Heater Core",1.80
68033794AA,1.50,1.50,1.50,3,Retainer,0.02
55007129AB,10.00,18.00,1.75,63.33,"Quarter Window Seal",1.80
5073180AA,9.00,11.50,3.25,116.67,"Heater Core",1.80
55134724,11.00,13.00,2.50,46.67,"Door Weatherstrip",2.80
52125159AE,4.50,12.00,3.25,90,"Clutch Master Cylinder",0.80
55157482AE,15.00,21.00,9.50,191.67,Headlight,6.80
55157483AE,15.25,21.00,9.25,191.67,Headlight,6.90
55175664K,14.00,21.00,4.25,160,"Corner Panel Kit",8.10
68088040AA,14.00,15.00,2.00,65,"Hard Top Seal",0.60
MFK7,10.00,14.00,5.50,93.33,"Master Filter Kit",2.80
53032860AA,3.75,10.50,2.00,46.67,"Drive Belt Tensioner",1.60
68032253AB,5.00,5.00,2.00,30,"Power Steering Pump Pulley",1.20
55116863AC,5.00,15.50,2.25,23.33,"Radiator Hose",1.00
53032956AA,8.00,8.50,3.50,23.33,"Power Steering Pump Pulley",1.00
55116864AE,13.50,15.00,2.50,20,"Radiator Hose",1.40
83320007,8.50,8.75,6.75,366.67,Carburetor,5.69
CAK11,10.25,23.25,8.50,136.67,"Control Arm Kit",17.00
CAK15,10.25,23.25,8.50,165,"Control Arm Kit",21.20
CAK16,26.50,28.25,4.50,360,"Control Arm Kit",46.80
5105822AA,5.88,5.88,0.63,12.5,"Coil Spring Isolator",0.13
68052370AA,4.00,9.75,3.00,46.67,"Brake Pad Set",6.10
5073626AA,2.25,3.50,2.25,12.5,"Power Steering Reservoir Cap",0.20
52060052K,6.50,57.00,5.00,148.33,"Tie Rod Assembly",20.00
118866,5.50,21.00,1.00,18.33,"Accessory Drive Belt Set",0.60
5019316P,4.00,4.00,4.00,86.67,"Piston & Pin",1.30
SSPACER,2.00,2.00,0.50,7.5,"Axle Shaft Retaining Ring",0.10
LSPACER,2.50,2.50,0.50,8.33,"Axle Housing Bearing Spacer",0.25
5085458AA,3.25,3.25,1.25,5.5,"Strut Mount Bearing",0.10
5083993K,3.50,6.50,1.00,93.33,"Crankshaft Main Bearing Set",0.30
5012365AD,9.00,30.00,2.00,90,"Engine Gasket Set",2.10
52078558,4.75,6.25,2.75,15.83,"Shift Boot",0.40
5161294K,2.75,6.00,1.25,45,"Connecting Rod Bearing Set",0.40
68000693AB,4.50,4.50,4.00,100,"Water Pump",1.70
5073524AA,5.00,10.00,2.00,81.67,"Piston Ring Set",0.40
68046210AB,5.00,10.00,2.00,163.33,"Piston Ring Set",0.60
RT20032,11.75,12.00,4.00,116.67,"Hd Differential Cover",12.60
53010444,3.00,26.00,1.00,7.5,Dipstick,0.20
53010445,1.50,25.50,1.00,10.83,Dipstick,0.10
5175583AB,4.00,4.00,3.25,44.17,"Thermostat & Housing",0.70
5GG27XBQAB,3.50,10.50,3.00,36.67,"Door Handle",0.60
3237427K,8.50,28.00,8.50,191.67,"Exhaust Manifold Kit",22.60
4792815AB,15.00,15.50,4.50,68.33,"Harmonic Balancer",30.20
53021990AA,2.25,7.00,2.00,20,"Intake Valve",0.20
55175043AH,2.00,35.00,1.00,33.33,"Tailgate Weatherstrip",0.80
RT31032,12.50,12.50,5.50,200,"Brake Rotor Set",35.00
55395396AE,3.50,8.00,1.50,53.33,"Hood Hinge",0.80
5085529AA,0.75,0.75,0.13,2.33,"Shock Absorber Washer",0.06
55176180K,6.00,6.00,11.00,133.33,"Body Mount Kit",6.80
55397012AA,3.25,3.25,1.25,8.17,"Door Strap Footman Loop",0.06
68079480AA,4.00,4.00,4.00,60,"Blower Motor Module",0.40
RT21006,5.25,47.25,3.75,241.67,"HD Steering Kit",22.00
RT21007,5.25,47.25,3.75,300,"HD Steering Kit",26.00
68192984AA,6.00,6.50,2.25,31.67,"Transmission Filter",0.40
52087636AC,2.25,3.25,2.25,15.83,"Bump Stop",0.20
4781034AB,6.00,16.50,4.00,18.33,"Intake Manifold Gasket",0.60
68003121AC,13.00,13.00,2.00,43.33,"Gearshift Control Cable",0.80
5159077AB,0.63,1.00,0.63,2,Retainer,0.02
5269873AB,2.25,3.00,1.50,36.67,"Crankshaft Position Sensor",0.10
6504030,0.88,0.88,0.38,2.83,Nut,0.02
68035575AA,5.50,5.50,3.00,125,"Differential Gear Kit",5.30
4891595AD,4.00,4.00,4.00,35,"Drive Belt Tensioner",1.60
68026549AA,9.25,9.25,9.25,600,"Differential Case Kit",13.00
RT21036,4.00,9.75,2.25,52.5,"Pitman Arm",4.40
5179153AC,2.50,4.00,2.50,51.67,"Windshield Washer Pump",0.20
83502635,17.00,37.00,14.50,183.33,"Fuel Tank",24.00
52104583AD,13.50,14.00,3.50,300,"Clutch Kit",16.00
4897484K,2.50,4.00,2.50,116.67,"Yoke Kit",0.90
68194931AA,2.50,26.00,1.50,23.33,"Wiper Blade",0.40
68197131AA,2.50,18.00,1.00,23.33,"Wiper Blade",0.20
53013944AA,4.00,18.00,0.25,15.83,"Exhaust Manifold Gasket",0.60
5143614AA,4.50,4.50,2.50,13.33,"Power Steering Reservoir Cap",0.10
53010149,1.00,1.25,0.75,5.67,"Drive Belt Tensioner Collar",0.10
52104701AB,5.00,31.00,5.00,150,"Axle Shaft Assembly",19.00
68091500AD,13.00,19.50,4.50,31.67,"Coolant Bottle",1.20
RT31025,12.00,12.00,2.25,233.33,"Brake Rotor Set",16.50
68000683AB,6.50,10.75,5.75,40,"Parking Light",0.90
68029524AA,2.00,12.00,1.00,70,"Timing Belt",0.40
5182555AD,16.00,56.00,12.50,50,"Fender Liner",1.60
5012364AAK6,4.25,4.50,1.75,96.67,"Piston Ring Set",0.50
4648987AA,5.00,16.00,0.50,10.83,"Valve Cover Gasket",0.10
5191307K,2.25,7.00,2.00,19.17,"Drum Brake Hardware Kit",0.40
5012699K,4.00,6.00,4.00,105,"Blower Motor Resistor Kit",0.90
52060290MK,8.00,14.00,5.25,83.33,"Trailer Hitch Master Kit",13.40
68078271AB,16.00,72.00,7.50,200,Fascia,4.00
52080439AA,7.50,33.00,7.50,433.33,"Catalytic Converter",8.40
52123522AA,5.25,41.25,5.25,233.33,"Axle Shaft Assembly",24.00
5135793AA,13.00,20.50,4.00,60,"Engine Gasket Set",3.60
68223399AA,15.25,20.50,9.50,74.17,"Headlight Mounting Bracket",3.60
68001591AA,3.25,3.25,1.50,36.67,"Camshaft Position Sensor",0.10
68040931AB,3.25,3.25,1.50,43.33,"Crankshaft Position Sensor",0.10
68102906AF,9.00,12.25,6.00,400,"Tail Light",2.60
68048467AA,1.25,2.25,1.25,2.67,"Caliper Bracket Mounting Bolt",0.19
68110950AC,8.00,8.25,8.00,41.67,"Engine Mount",4.00
53003932AB,2.00,7.00,2.00,10.83,"Accelerator Pedal Pad",0.10
5191890AA,4.50,5.25,1.50,25,"Transmission Filter",0.30
RT25003,3.00,6.00,3.00,21.67,"Shock Bracket Set",2.20
5189838AA,8.50,16.00,0.13,10.83,"Transmission Pan Gasket",0.10
53032833AH,4.50,19.00,0.25,14.17,"Exhaust Manifold Gasket",0.50
4892409AA,3.00,13.00,0.25,9.17,"Exhaust Manifold Gasket",0.10
68260449AA,29.00,34.50,9.00,161.67,Radiator,12.20
68102920AC,8.00,13.50,5.00,280,"Tail Light",2.00
5149034AA,4.50,4.75,1.75,30.83,"Camshaft Position Sensor",0.20
52037994K,4.00,42.50,4.00,103.33,"Drag Link Assembly",10.30
68197299AB,29.00,34.50,9.00,148.33,Radiator,13.20
68004167AA,4.50,4.50,2.00,19.17,"Tail Light Wiring",0.30
68148386AA,6.00,6.50,3.00,125,"Drive Belt Tensioner",2.20
52014621AE,20.00,31.50,5.00,416.67,"Cooling Fan Module",16.20
5033308AB,3.25,3.25,1.25,31.67,"Camshaft Position Sensor",0.06
6509101AA,0.75,1.25,0.75,3,Screw,0.06
52080441AA,18.25,63.00,7.50,350,"Muffler & Tailpipe",25.00
5029811AC,3.25,3.25,1.25,23.33,"Crankshaft Position Sensor",0.06
4627167AA,3.25,10.50,1.00,25,"Accessory Drive Belt",0.40
68052386AA,4.00,9.75,3.00,48.33,"Brake Pad Set",2.90
52126348AD,15.50,16.00,10.75,733.33,"Steering Box",37.20
68052897AC,12.50,13.00,8.00,750,"Steering Box",36.20
RT32014,7.50,8.00,4.50,83.33,"Wheel Spacer Set",7.40
5174877AA,4.50,15.25,4.50,33.33,"Wiper Arm",0.80
55175042K,3.00,50.00,1.50,65,"Liftgate Weatherstrip Kit",1.60
5085495AC,5.00,5.00,5.00,23.33,"Shock Absorber Bracket",1.25
6508707AA,0.75,2.00,0.75,2.92,"Wheel Stud",0.13
52125483AA,4.25,7.00,2.25,30,"Tie Rod End",1.90
68258362AA,1.50,15.50,1.50,12.5,"Brake Hose",0.20
68249846AC,14.25,14.75,5.25,108.33,Mirror,5.20
68225067AA,18.00,31.50,5.00,26.67,"Windshield Washer Reservoir",4.00
5105617K,12.25,12.75,4.75,158.33,"Drum Brake Service Kit",26.50
52060462AG,2.25,42.00,2.25,75.83,"Transfer Case Shift Cable",1.20
68014951AA,13.00,20.25,4.50,90,"Window Regulator",4.20
52080123AC,32.00,32.50,6.75,250,Radiator,16.20
5017124AC,3.75,5.00,1.00,38.33,"Blower Motor Resistor Repair Harness",0.10
68004181AB,3.75,10.75,2.75,23.33,"Parking Light",0.40
55079191AE,18.50,41.25,3.25,65,"Engine Splash Shield",2.20
68004180AB,4.00,11.00,3.00,23.33,"Parking Light",0.40
52128940AF,14.00,16.00,2.50,106.67,"Power Steering Pressure Hose",1.50
55397093K,3.50,3.75,1.75,47.5,"Hard Top Hardware Kit",0.80
5ES43DX9,1.25,10.75,0.75,13.33,"Door Handle",0.25
4891587AA,5.00,11.00,1.00,48.33,"Accessory Drive Belt",0.60
52104284AB,12.00,17.50,1.50,28.33,"Throttle Valve Cable",0.60
68065503AA,11.50,17.00,1.50,51.67,"Parking Brake Cable",0.70
5102406AA,4.50,9.00,1.00,15.83,"Blower Motor Resistor Repair Harness",0.20
68141123AC,6.00,6.00,6.00,108.33,"Hub Assembly",6.40
68246453AA,6.00,6.00,6.00,108.33,"Hub Assembly",5.80
5170703AA,11.00,23.00,1.50,103.33,"Engine Gasket Set",1.90
5175510AA,5.50,5.50,1.00,158.33,"Timing Chain",3.70
5058693AA,9.00,9.75,1.25,14.83,"Cabin Air Filter",0.30
55397093K8,3.50,3.75,1.75,50,"Hard Top Hardware Kit",0.85
4779886AC,3.50,13.50,10.20,58.33,"Brake Rotor",10.60
52000469,5.00,4.00,8.00,16.67,"Bumper Guard",0.90
520994RRK,6.00,8.00,4.50,131.67,"Cv Joint Repair Kit",4.10
68079655AH,18.00,19.00,11.50,200,"Fender Reinforcement",5.20
52060137K,14.25,14.50,5.00,185,"Disc Brake Service Kit",40.00
68109863AA,19.00,67.00,10.00,183.33,Fascia,5.60
52060147K,14.50,14.50,6.50,308.33,"Disc Brake Service Kit",38.00
5016434K,14.25,14.50,5.50,191.67,"Disc Brake Service Kit",36.00
52098672KL,14.50,14.50,5.00,170,"Disc Brake Service Kit",40.00
5363421RK,14.25,14.50,5.00,158.33,"Disc Brake Service Kit",32.00
68143895AA,8.50,28.00,8.00,141.67,"Transmission Cooler",4.00
68303052AA,6.50,10.75,6.00,56.67,"Brake Pad Set",6.00
5083001AA,2.50,5.25,2.50,11.33,"Drive Shaft Boot",0.20
68003570AA,2.00,2.50,2.00,10.83,"Axle Locker Sensor Connector",0.06
5179985AA,4.50,4.50,2.00,53.33,"Blower Motor Module",0.40
68229612AA,11.25,15.50,7.00,108.33,Mirror,3.80
68037063AE,19.00,41.25,4.50,93.33,"Engine Splash Shield",2.60
52089883AD,5.00,7.00,5.00,183.33,"Power Steering Pump",4.90
55155841AI,12.50,12.50,8.00,93.33,Mirror,3.30
55155840AI,12.50,12.50,8.00,93.33,Mirror,3.40
52027984,8.50,13.00,6.50,43.33,"Coolant Bottle",0.90
55078139AA,5.00,5.00,2.00,5.83,"Bumper End Cap",0.20
55174994,8.00,13.50,5.00,26.67,"License Plate Bracket",1.50
56004881,2.50,4.00,2.50,30.83,"Temperature Gauge",0.20
55056622AE,10.50,10.50,10.00,81.67,"Coolant Bottle",2.40
52005738K,4.00,42.00,3.25,95.83,"Drag Link Assembly",10.00
A1542,9.50,11.00,0.75,8.33,"Transmission Gasket Set",0.20
52079706AB,8.00,20.25,5.00,80,"Radiator Hose",1.20
3243152K,12.25,30.00,9.50,191.67,"Engine Oil Pan Kit",12.80
53020918K,12.25,30.00,9.50,181.67,"Engine Oil Pan Kit",10.40
53021755K,13.50,18.25,8.00,76.67,"Engine Oil Pan Kit",8.00
68091512AA,21.00,73.00,12.00,175,Fascia,5.00
RT26017,6.50,8.00,5.00,35,"Tail Light Guard Set",5.30
56044530AC,8.00,8.50,8.00,275,Alternator,12.60
68091510AA,18.00,72.00,6.00,250,Fascia,6.00
68091511AA,18.00,72.00,6.00,175,Fascia,5.40
15618,5.00,5.50,2.00,58.33,"Range Fork",1.10
RT28081,8.50,9.00,7.38,90,"LED Tail Light Set",3.20
5054227AA,0.75,0.88,0.75,3,"Hood Bumper",0.02
55397279AB,1.25,38.00,0.75,17.5,"Hood Weatherstrip",0.20
51875,0.50,0.50,0.25,0.38,"Valve Cover Screw Gasket",0.10
55397089AB,4.00,4.00,1.75,9.17,"Tailgate Hinge Cover",0.13
68248150AA,26.50,29.00,8.50,183.33,"Fan Module",12.20
J4004311,0.75,0.75,0.50,1.3,"Shackle Nut",0.02
RT26041,15.00,19.00,2.50,175.18,"Grille Insert Set",4.90
400501,4.50,9.50,3.50,131.67,"Locking Hub Set",5.70
400502,4.75,9.50,3.50,131.67,"Locking Hub Set",3.10
400518,4.50,8.50,3.50,131.67,"Locking Hub Set",3.70
68263295AA,7.50,8.00,4.50,92,"Brake Caliper",6.00
4864957K,4.00,8.00,4.00,61.67,"Blower Motor Resistor Kit",0.40
RT34011,7.00,10.00,1.00,14.17,"Hood Catch Kit",0.60
5165712AA,1.00,1.75,0.75,10.67,"Windshield Washer Nozzle",0.02
RT34012,4.00,6.63,2.00,50,"Hood Hinge Set",1.80
RT34007,3.25,3.25,1.25,18,"Door Hinge Bracket Set",0.50
68164059AD,11.25,15.50,7.00,131.67,Mirror,3.40
68164058AD,11.25,15.50,7.00,131.67,Mirror,3.40
5182557AD,24.00,55.00,15.00,65,"Fender Liner",1.40
52853432AA,5.00,36.25,4.50,383.33,"Drive Shaft",18.00
68213436AC,6.50,18.25,0.75,30,"License Plate Bracket",0.60
52038783AC,3.00,2.00,3.00,9.33,"Rack & Pinion Mounting Bushing",0.20
68048757AA,4.50,12.00,3.25,90,"Brake Master Cylinder",1.60
RT34032,4.50,4.75,2.00,49.5,"Liftgate Glass Hinge Kit",1.30
68029591AD,3.00,3.00,3.00,11.33,"Bump Stop",0.20
68275052AA,3.00,6.00,3.00,48.33,"Tie Rod End",1.00
52126349AE,11.25,15.00,7.00,700,"Steering Box",33.20
RT34048,9.50,9.50,1.00,66.67,"Stone Guard Set",1.30
5074714AG,0.50,35.75,1.00,43.33,"Door Glass Weatherstrip",0.60
5074715AG,1.50,35.75,1.00,43.33,"Door Glass Weatherstrip",0.60
55113020AF,13.00,13.50,1.50,48.33,"Door Weatherstrip",3.00
68246551AA,3.00,14.50,0.25,13.33,"Exhaust Manifold Gasket",0.19
RT34052,6.00,54.50,4.00,103.33,"Bumper Overlay",5.90
RT34037,5.75,55.00,2.50,148.33,Bumper,10.80
68020438AA,2.50,4.25,0.75,6.67,"Brake Pedal Pad",0.13
5058489AF,9.00,19.00,4.75,121.67,"Radiator Hose",1.40
5058413AE,10.25,19.00,4.25,30.83,"Radiator Hose",1.00
RT34036,18.50,20.00,1.00,80,"Bug Screen",2.30
68078584AA,0.50,0.75,0.50,1,Retainer,0.02
55176422,3.50,3.75,1.75,11.67,"Footman Loop",0.13
68246731AA,6.00,8.00,4.50,26.67,"Sway Bar Link",0.60
5058492AE,14.25,28.00,8.50,56.67,"Radiator Hose",2.40
RT34040,4.00,49.50,0.12,61.67,"Bumper Overlay",1.80
RT34041,3.25,12.50,3.00,33.33,"Corner Guard Set",0.90
E0045378,13.00,55.00,6.75,75,Tailpipe,6.20
E0045379,14.00,49.00,11.75,75,Tailpipe,5.20
68212010AA,7.50,8.00,4.50,92,"Brake Caliper",11.40
RT34055,6.25,34.00,4.25,93.33,"Frame Cover",2.80
RT34065,3.50,12.25,2.75,130,"Tailgate Hinge Set",5.40
RT34067,6.00,6.25,5.50,81.67,"Windshield Light Mount Bracket Set",2.80
RT26028,2.25,5.50,2.00,40,"Windshield Knobs",0.60
488601,4.00,4.00,1.75,11.27,"Hood Catch Kit",10.80
4884696AA,3.75,4.50,0.06,9.16,"Water Pump Gasket",0.06
4589688AE,3.00,6.00,3.00,43.33,"Hood Latch",0.80
RT26008,9.00,18.00,0.25,31.67,"Cowl Vent Cover",1.20
RT34085,14.00,22.00,0.50,51.67,"Bug Screen",2.30
RT30002,7.25,9.00,5.75,38.33,"Mirror Kit",3.69
RT26023,18.25,20.00,0.75,45,"Bug Screen",2.40
RT26034,8.00,10.00,1.25,55,"Stone Guard Set",1.20
RT30012,7.00,8.75,5.50,50,"Mirror Kit",3.60
RT26045,4.00,6.25,1.25,40,"Hood Hinge Set",1.90
630534,3.00,3.00,1.00,2.33,"Exhaust Clamp",0.30
5SG24AXRAB,11.75,15.50,7.00,283.33,Mirror,4.00
5SG25AXRAB,11.75,15.50,7.00,283.33,Mirror,4.00
52007842,5.50,5.75,2.50,20.83,"Parking Brake Adjuster",0.40
637834,2.00,2.00,0.50,8.25,"Synchronizer Blocking Ring",0.10
638798,3.00,3.00,2.00,61.02,"Second Gear",0.90
639119,3.75,4.75,0.25,0.75,"Steering Box Gasket",0.10
639650,3.50,4.00,0.12,1.47,"Thermostat Housing Gasket",0.10
640131,4.00,4.00,4.00,80,Speedometer,1.10
641955,12.50,12.50,0.50,27.5,"Flywheel Ring Gear",2.30
910144,2.50,19.00,2.50,48.33,"Shock Absorber",3.30
68003697AA,7.50,8.00,4.75,91.67,"Brake Caliper",8.10
5758172K,6.00,8.00,4.25,66.67,"Door Handle Kit",2.60
973727,24.00,60.00,4.00,266.67,"Windshield Frame",19.00
68267916AA,3.00,3.00,2.00,22.5,"Brake Caliper Pin Kit",0.40
999210,4.00,8.50,1.00,5,U-Bolt,1.10
S0103336,1.50,1.50,0.50,6.5,"Pitman Arm Lock Washer",0.06
2466954,6.50,8.50,0.06,1.42,"Transmission To Adapter Gasket",0.10
52104174,2.50,4.00,2.50,14,"Shift Knob",0.40
52059930AH,34.00,41.00,12.00,1000,"Exhaust Pipe",21.00
E0054227,16.00,52.00,8.00,100,Tailpipe,10.20
2946079,2.25,0.50,2.25,2.92,"Valve Cover Grommet",0.10
68028605AJ,25.00,65.00,4.00,650,"Windshield Frame",25.50
3461662,1.00,10.00,0.75,2.25,"Drum Brake Self Adjusting Cable",0.10
68254967AA,19.00,59.00,15.50,75,"Fender Liner",2.60
68254968AA,28.00,57.00,13.50,108.33,"Fender Liner",2.60
68254969AA,25.00,60.00,17.00,100,"Fender Liner",2.60
68005011AB,1.25,1.25,1.00,4.83,"Hard Top Bumper",0.02
6035836,1.13,2.13,1.13,7,"Crossmember Mounting Bolt",0.19
3747361,1.25,3.25,1.25,13.33,"Neutral Safety Switch",0.20
68004095AB,11.25,15.50,7.00,233.33,"Fuel Module",3.40
5143581AC,4.00,4.00,4.00,73.33,"Windshield Washer Pump",0.38
52058133K,25.75,46.00,4.75,458.33,"Transmission Crossmember Kit",41.00
3764863,1.50,3.25,1.50,6.25,"Parking Light Socket",0.10
4004445,4.00,4.00,0.75,3.33,"Exhaust Clamp",0.50
4007393,1.00,5.00,1.00,2.92,"Shackle Bolt",0.30
4007504,1.00,1.00,1.00,1.5,"Hood Bumper",0.10
52059940AD,8.00,8.25,8.00,70,"Engine Mount",8.80
55028214,0.25,1.00,0.25,3,"Glass Spacer",0.02
4049681,2.50,4.00,1.00,7,"Brake Shoe Hold Down Kit",0.10
4060790,3.50,13.50,1.00,48.33,"Accessory Drive Belt",0.50
