REPLACES_PART,DESCRIPTION_NOTUPDATE,QUANTITY
56042302AG        ,"SWITCH, MULTI. ",0
56042341AF        ,CLOCKSPRING    ,12
56042476AC        ,"SWITCH,IGNITION",63
56042770AF        ,CLOCKSPRING    ,31
56044144AD        ,"SENSOR, ABS    ",160
56044146AB        ,"SENSOR, SPEED  ",1412
56044180AC        ,"SENSOR, CRANK  ",583
56044215AA        ,"SENSOR, OXYGEN ",44
56044380AI        ,ALTERNATOR     ,2
56044530AC        ,ALTERNATOR     ,25
56044734AA        ,STARTER        ,139
56044736AC        ,STARTER        ,8
56045043AG        ,"SWITCH,STOPLAMP",9
56046955AF        ,KEY FOB        ,149
56046956AF        ,KEY FOB        ,45
56047103AB        ,CLOCKSPRING    ,12
56047103AC        ,CLOCKSPRING    ,48
56047105AC        ,CLOCKSPRING    ,179
56047144AA        ,CLOCKSPRING    ,104
56049433AE        ,SWITCH         ,446
56054001AB        ,"SWITCH,STOPLAMP",69
56054002AA        ,"SWITCH, WINDOWS",63
56055463AB        ,WIRING         ,891
57000051,HOOD           ,20
57010076AE        ,"MIRROR, RIGHT  ",17
57010077AE        ,"MIRROR, LEFT   ",12
57010078AC        ,"MIRROR, RIGHT  ",10
57010098AC        ,"MIRROR, RIGHT  ",13
57010124AA        ,"LAMP,PARKING,R ",2
57010125AA        ,"LAMP,PARKING,L ",2
57010170AE        ,HEADLAMP       ,1
57010171AE        ,HEADLAMP       ,2
57010185AC        ,"MIRROR, LEFT   ",3
57010187AC        ,"MIRROR, LEFT   ",4
57010213AC        ,"LAMP, LEFT     ",968
57010214AC        ,"LAMP, RIGHT    ",958
57010716AC        ,"LAMP, RIGHT    ",915
57010717AC        ,"LAMP, LEFT     ",939
57010719AF        ,RESERVOIR      ,879
57010720AC        ,REFLECTOR      ,1716
57010721AC        ,REFLECTOR      ,1620
5710618,"REPAIR KIT,STRG",11
5732482,DRUM           ,6
5751098K          ,SWITCH KIT     ,73
5752141,"BOOT, SHIFTER  ",174
5752813K          ,DASH LAMP KIT  ,1747
5758172K          ,"HANDLE KIT, EXT",18
5758172MK         ,FULL HANDLE SET,10
5758254C          ,"LAMP ASSY, CHRO",146
5758255C          ,"LAMP ASSY,CHROM",153
5758971K          ,WINDSHIELD KIT ,7
5764665K          ,BATTERY TRAY KI,42
5965338K          ,"MIRROR KIT,8.5""",35
6CK19TZZAA        ,"FASCIA, FRONT  ",5
6V                ,6-V WIPER KIT  ,30
6003351,FASTENER       ,209
6032920,"O-RING, OIL    ",8813
6033862,FASTENER       ,538
6034120,SCREW          ,12333
6034204,SCREW          ,-230
6034376,"PLUG, OIL PAN  ",2785
6034804AB         ,"PLUG, CORE     ",110
6034988,"NUT, LOCKING   ",1798
6035514,HEAD BOLT      ,328
6035515,"BOLT, HEAD     ",64
6035516,HEAD BOLT      ,597
6035709,0-RING         ,1561
6035757,"SCREW, TORX    ",3783
6035757K          ,"SCREW KIT, TORX",228
6035836,"BOLT,HEX FLANGE",7618
6035836K6         ,BOLT KIT (6)   ,351
6035911AA         ,"BOLT,HOSE INLET",305
6035968AA         ,"STUD, VLV COVER",4420
6036155AA         ,"PIN, PUSH      ",1178
6036415AA         ,BOLT           ,3442
6036424AA         ,"STUD, WHEEL    ",18172
6036482AA         ,"STUD, HUB      ",8212
6036749AA         ,"NUT, PINION    ",1526
6100525,NUT            ,0
6101482,"MINIFUSE, 3 AMP",183
6101484,"MINIFUSE, 5 AMP",2070
6101485,"MINIFUSE, 7.5 A",2298
6101486,"MINIFUSE, 10 AM",351
6101487,"MINIFUSE, 15 AM",106
6101488,"MINIFUSE, 20 AM",1010
6101489,"MINIFUSE, 30 A ",2440
6101523,"FUSE, 2 A      ",1184
6101640,"MAXI FUSE, 30 A",87
6101641,"MAXI FUSE, 40 A",102
6101642,"MAXI FUSE, 50 A",80
6101643,"MAXI FUSE, 60 A",91
6101645,"MAXI FUSE, 80 A",60
6101679,"MAXI FUSE, 20 A",23
6101851,MEGA FUSE      ,222
6102244AA         ,WASHER NUT     ,75
6104257AA         ,"BOLT, CALIPER  ",111
6104718AA         ,"NUT, FLANGED   ",1770
6104719AA         ,"NUT, FLANGED   ",4860
630299,GASKET         ,77
630359,"GASKET, PLATE  ",820
630398,"GASKET, SUPPORT",466
630534,"CLAMP, EXHAUST ",315
635641,GASKET         ,857
635811,WASHER         ,4297
635812,"WASHER, THRUST ",3876
636553,"SHAFT, DIFFEREN",160
636879,GEAR           ,220
637053,"GASKET,WATER PU",297
637182,"VALVE, INTAKE  ",-4
637834,BLOCKING RING  ,1028
637900,"ANCHOR, CAM    ",366
638457,"CHAIN, TIMING  ",449
638539,"NUT, HEAD      ",185
638629K           ,"MOUNT KIT,F & R",-5
638798,"GEAR, SECOND   ",99
638948,COUNTERSHAFT   ,327
639115,NUT            ,845
639119,"GASKET,STEERING",1237
639265,PINION SEAL    ,1443
639650,"GASKET,THERMOST",348
639993,IMPELLER       ,4508
640131,SPEEDOMETER ASS,182
640397K           ,SYNCHRO KIT    ,88
640410,"WASHER, THRUST ",1335
640417,GEAR           ,-6
640685,"TANK, FUEL     ",-1
640685PL          ,FUEL TANK      ,0
640762,"GAUGE, TEMP    ",43
640763,"GAUGE, FUEL    ",97
640782,SNAP RING      ,4675
640783,SNAP RING      ,6115
640784,SNAP RING      ,9934
640786K           ,ROLLER KIT (14),26
641096,"GASKET, PLATE  ",692
641275,"FORK, CLUTCH   ",155
641482,"GASKET, COVER  ",435
641878,MUFFLER        ,361
641878K           ,EXHAUST KIT    ,-4
641955,"RING GEAR, FLYW",83
642188K           ,"SHAFT KIT,1-1/8",87
642469,"CLAMP, EXHAUST ",169
642624,"LEVER, CLUTCH  ",300
644552,ADAPTER        ,0
646147,"GASKET, PUMP   ",892
647693,TUBE & WORM 41 ,0
648065,CARBURETOR KIT ,211
648927,GASKET         ,2078
649941,"CYLINDER, WHEEL",93
6500911,RIVET          ,1535
6501474,BOLT           ,1131
6501773,"NUT, PLASTIC   ",830
6501916,RETAINER       ,384
6501948,RETAINER       ,336
6502114,"GASKET, HOSE   ",1126
6502251AA         ,"NUT, FLANGE    ",631
6502625,PUSH PIN       ,1872
6502696,"NUT, FLANGED   ",2231
6502697,"NUT,FLANGED HEX",1636
6502698,NUT            ,1214
6502738,LUG NUT        ,6686
6502871,PUSH PIN       ,292
6502979,"NUT, LOCK      ",1482
6502991,FASTENER       ,4257
6503046,"NUT, HEX LOCK  ",1992
6503106,PUSH PIN       ,887
6503198,"BOLT, ADJUSTER ",1816
6503198K          ,BOLT & COLLAR  ,283
6503259,"SCREW, TAPPING ",14614
6503335,"NUT, FLANGED   ",176
6503598,"PIN, PUSH      ",943
6503709,"PIN, DOOR PANEL",415
6504014,PUSH PIN       ,2301
6504030,NUT & WASHER   ,965
6504060,"BOLT, HEAD     ",73
6504118,U-NUT          ,1192
6504135,PUSH PIN       ,1168
6504212,"BOLT, TORX     ",2439
6504236AB         ,"WASHER, CAM    ",703
6504238,"BOLT, CAM      ",665
6504238K          ,"BOLT KIT, CAM  ",427
6504521,PUSH PIN       ,554
6504601,NUT            ,172010
6504672,"NUT, STAINLESS ",9507
6504737,"RIVET, PLASTIC ",308
6505026AA         ,SCREW          ,5611
6505049AA         ,NUT            ,840
6505141AA         ,"GROMMET, NUT   ",1855
6505223AA         ,"NUT, SPRING    ",806
6505319AA         ,FASTENER       ,366
6505411AA         ,PUSH PIN       ,689
6505465AA         ,"BOLT, TORX     ",6883
6505539AA         ,"FASTENER, DOOR ",62
6505549AA         ,SCREW & WASHER ,9580
6505623AA         ,"NUT, LOCK      ",1936
6505667AA         ,PIN            ,107
6505822AA         ,"NUT, FLANGE    ",379
6505832AA         ,"BOLT, CALIPER  ",39
6506007AA         ,"RIVET, PLASTIC ",9115
6506100AA         ,"PLUG, OIL PAN  ",1371
6506132AA         ,PUSH PIN       ,424
6506161AA         ,SCREW          ,4031
6506214AA         ,"PLUG, OIL PAN  ",604
6506293AA         ,RETAINER       ,196
6506454AA         ,"NUT, FRONT AXLE",1152
6506566AA         ,"SCREW, FLANGE  ",4675
6506825AA         ,"NUT, HARDTOP   ",2209
6506825K6         ,NUT + BOLT KIT ,261
6506825K8         ,NUT + BOLT KIT ,273
6506825MK         ,MASTER KIT     ,240
6506826AA         ,SCREW          ,7418
6507152AA         ,"BOLT, CALIPER  ",28
6507207AA         ,"NUT, FLANGED   ",875
6507676AA         ,"NUT, FLANGE    ",1355
6507686AA         ,FASTENER       ,1446
6507741AA         ,"PLUG, OIL PAN  ",1866
6507901AA         ,"NUT, PINION, F ",595
6508072AA         ,"NUT, HEADLAMP  ",191
6508707AA         ,"STUD, WHEEL    ",9643
6508712AA         ,PUSH PIN       ,164
6508746AA         ,PUSH PIN       ,949
6508863AA         ,PUSH PIN       ,558
6508914AA         ,"BOLT, INLET    ",245
6508947AA         ,CLIP           ,68
6509049AA         ,PUSH PIN       ,1252
6509101AA         ,SCREW          ,6511
6509106AA         ,RIVNUT         ,89
6509135AA         ,PUSH PIN       ,407
6509422AA         ,"NUT, LUG       ",5251
6509432AA         ,NUT            ,6630
6509522AA         ,JAM NUT        ,69
6509590AA         ,PUSH PIN       ,1025
6509673AA         ,PUSH PIN       ,565
6509761AA         ,PUSH PIN       ,753
6509799AA         ,U-NUT          ,1824
6509858AA         ,"STUD, WHEEL    ",9671
6509960AA         ,PUSH PIN       ,305
6510185AA         ,U-NUT          ,388
6510197AA         ,"NUT, PUSH      ",987
6510520AA         ,RIVET          ,247
6510734AA         ,PUSH PIN       ,1379
6510766AA         ,PIN            ,870
6511744AA         ,"NUT, DOOR HINGE",9707
674234,WEATHERSTRIP   ,51
68000470AA        ,ACTUATOR       ,906
68000682AB        ,"LAMP,PARKING,R ",56
68000683AB        ,"LAMP,PARKING,L ",62
68000693AB        ,"PUMP, WATER    ",367
68001297AA        ,"ELEMENT, OIL   ",190
68001313AB        ,"SENSOR, TEMP   ",1758
68001386AA        ,"RING SET,PISTON",11
68001402AA        ,TIMING KIT     ,22
68001472AB        ,SHOE & LINING  ,19
68001591AA        ,"SENSOR, CAM    ",245
68001627AA        ,"PLUG, T.C.     ",2212
68001777AA        ,"GASKET SET,UPPE",47
68001798AB        ,TENSIONER      ,250
68002271AB        ,"FASCIA, FRONT  ",13
68002350AB        ,HOOD           ,2
68002388AB        ,WIPER MOTOR    ,103
68002389AA        ,WIPER ARM      ,1845
68002390AA        ,"WIPER BLADE,15""",196
68002398AD        ,"FENDER, RIGHT  ",12
68002399AD        ,"FENDER, LEFT   ",13
68002412AA        ,"GUIDE, AXLE    ",9662
68002490AB        ,ARM & BLADE    ,409
68002763AA        ,MAP SENSOR     ,109
68002896AA        ,"REGULATOR, RF  ",906
68002897AA        ,"REGULATOR, LF  ",845
68003121AC        ,"CABLE,GEARSHIFT",736
68003138AC        ,"CABLE,GEARSHIFT",1950
68003214AD        ,"SWITCH, WIPER  ",20
68003215AD        ,"SWITCH, WIPER  ",22
68003262AA        ,FLANGE         ,188
68003265AA        ,"SEAL, PINION   ",807
68003268AA        ,SHIM KIT       ,132
68003270AA        ,"SEAL,AXLE SHAFT",787
68003272AA        ,AXLE SHAFT     ,103
68003275AA        ,"NUT, LOCKING   ",638
68003281AC        ,SENSOR KIT     ,-19
68003282AA        ,"STUD, HUB      ",6657
68003322AA        ,"BEAM, BUMPER   ",28
68003339AD        ,"MODULE, FUEL   ",2
68003352AA        ,TIMING KIT     ,116
68003353AA        ,"SPROCKET, IDLER",16
68003360AA        ,"SWITCH, OIL    ",66
68003426AA        ,GEAR & PINION  ,0
68003427AC        ,"GASKET SET,UPPE",83
68003495AA        ,RECEIVER DRIER ,3
68003527AA        ,"GEAR KIT, DIFF ",0
68003533AA        ,AXLE SHAFT     ,82
68003534AA        ,AXLE SHAFT     ,18
68003546AA        ,DISC KIT       ,111
68003554AA        ,"BOLT KIT, RING ",2196
68003555AA        ,BEARING SET    ,19
68003556AA        ,SHIM KIT       ,596
68003557AA        ,AXLE SHAFT     ,23
68003558AA        ,AXLE SHAFT     ,8
68003564AA        ,"GASKET SET,UPPE",85
68003569AA        ,"SENSOR, AXLE   ",47
68003570AA        ,CONNECTOR      ,2765
68003582AB        ,"ADAPTER,THERM. ",374
68003589AA        ,SHOE & LINING  ,95
68003589HK        ,HARDWARE KIT   ,292
68003610AA        ,"PAD SET, REAR  ",12
68003619AA        ,"BOOSTER, BRAKE ",279
68003697AA        ,"CALIPER, BRAKE ",109
68003698AA        ,PISTON KIT     ,422
68003699AA        ,"BRACKET,CALIPER",26
68003701AA        ,"PAD SET, FRONT ",127
68003705AA        ,"SPRING KIT, PAD",978
68003706AA        ,"PIN KIT,CALIPER",486
68003707AA        ,"CALIPER, BRAKE ",75
68003721AA        ,"GLASS, MIRROR  ",11
68003723AA        ,WIPER BLADE    ,12
68003772AA        ,"RETAINER, LAMP ",471
68003772BLK       ,"RETAINER, BLACK",445
68003774AA        ,"CALIPER, BRAKE ",120
68003775AA        ,ADAPTER        ,87
68003776AA        ,"PAD SET, REAR  ",409
68003777AA        ,"PIN KIT, BRAKE ",85
68003778AA        ,"CALIPER, BRAKE ",93
68003882AA        ,PISTON KIT     ,305
68003941AB        ,WIPER BLADE    ,3
68003970AA        ,RECEIVER DRIER ,3
68003989AA        ,VALVE          ,7
68003993AA        ,"CORE, HEATER   ",48
68003994AA        ,EVAPORATOR     ,6
68004016AA        ,ACTUATOR       ,927
68004019AD        ,"SENSOR, ABS    ",468
68004049AA        ,RADIATOR       ,9
68004052AB        ,CONDENSER      ,1
68004053AA        ,COOLER CONDENSE,1
68004070AB        ,"FLANGE, PROP.  ",405
68004072AA        ,"SEAL, PINION   ",628
68004073AA        ,"SLINGER, PINION",4446
68004075AA        ,"GEAR KIT, DIFF ",736
68004076AA        ,"BAFFLE, PINION ",9477
68004079AA        ,"SHAFT, STUB    ",1872
68004080AA        ,"AXLE, FRONT R  ",51
68004081AA        ,"AXLE, FRONT L  ",45
68004085AA        ,BALL JOINT KIT ,214
68004086AA        ,"KNUCKLE, RIGHT ",260
68004087AA        ,"KNUCKLE, LEFT  ",239
68004090AA        ,"GUIDE, AXLE    ",4550
68004094AB        ,GEAR & PINION  ,3
68004095AB        ,"MODULE, FUEL   ",30
68004166AA        ,"WIRING,TAILLAMP",490
68004167AA        ,"WIRING,TAILLAMP",180
68004180AB        ,"LAMP,PARKING,R ",1272
68004181AB        ,"LAMP,PARKING,L ",1106
68004194AC        ,EVAPORATOR CORE,139
68004195AA        ,"MOTOR, BLOWER  ",8
68004196AA        ,RESISTOR       ,517
68004203AB        ,"CABLE, MODE    ",631
68004204AB        ,"CABLE, TEMP.   ",1481
68004296AA        ,"CONDENSER, A/C ",3
68005011AB        ,"BUMPER,HARD TOP",38
68005014AC        ,"SEAL, HARD TOP ",23
68005015AC        ,"SEAL, HARD TOP ",30
68005016AC        ,"SEAL, HARD TOP ",11
68005017AC        ,"SEAL, HARD TOP ",17
68008523AA        ,"RETAINER, AXLE ",207
68011583AD        ,"MODULE, FUEL   ",14
68014931AA        ,"SEAL, AXLE     ",1056
68014948AA        ,"REGULATOR, RF  ",907
68014949AA        ,"REGULATOR, LF  ",919
68014950AA        ,"REGULATOR,RIGHT",10
68014951AA        ,"REGULATOR, LEFT",11
68015101AG        ,"SWITCH, MULTI  ",21
68017175AB        ,GEAR & PINION  ,6
68017176AA        ,CASE ASSEMBLY  ,0
68017180AB        ,ASSY AXLE (L)  ,34
68017181AB        ,"SHAFT, STUB    ",471
68017182AA        ,U-JOINT        ,1494
68017183AB        ,ASSY AXLE (R)  ,23
68017185AA        ,"GUIDE, AXLE    ",8970
68017712AB        ,WIRE SET       ,948
68017937AA        ,"TENSIONER,TIMIN",841
68018109AA        ,"ACTUATOR, A/C  ",831
68018555AA        ,"FILTER, TRANS. ",202
68018916AB        ,RESERVOIR      ,32
68018929AA        ,WIPER REFILL   ,27
68019324AA        ,GEAR & PINION  ,0
68019333AB        ,GEAR & PINION  ,0
68019471AA        ,"SHAFT, DIFF.   ",3
68019643AB        ,TIE ROD END    ,181
68019678AE        ,"SWITCH, HEADLIG",1188
68019688AA        ,"FILTER, TRANS  ",57
68019927AA        ,"SEAL, PINION   ",2217
68020252AB        ,"CALIPER, REAR  ",494
68020261AB        ,"CALIPER, REAR  ",391
68020278AA        ,RADIATOR       ,6
68020438AA        ,"PAD, PEDAL     ",3872
68020597AA        ,WIPER MOTOR    ,90
68020626AA        ,SHOE & LINING  ,9
68021299AB        ,"FASCIA, FRONT  ",0
68022107AC        ,DRIVE SHAFT    ,89
68022628AD        ,"KNUCKLE, RIGHT ",398
68022629AD        ,"KNUCKLE, LEFT  ",515
68024890AB        ,"CABLE, RIGHT   ",540
68024891AB        ,"CABLE, LEFT    ",725
68025360AA        ,"SUPPORT, HOOD  ",1
68026549AA        ,"CASE ASSY, DIFF",1
68026937AB        ,SEAL KIT       ,2551
68027359AA        ,"PUMP, WATER    ",661
68027600AA        ,ROCKER ARM     ,1980
68027602AA        ,"PULLEY, IDLER  ",146
68027603AA        ,"PULLEY, IDLER  ",334
68027611AB        ,"TENSIONER, BELT",248
68027789AA        ,THERMOSTAT     ,1762
68027792AA        ,"SHOCK, HD FRONT",431
68027795AA        ,SHOCK ABSORBER ,6
68027797AA        ,"SHOCK, REAR    ",9
68028440AA        ,"BLADE, WIPER   ",8
68028605AJ        ,FRAME          ,714
68028671AA        ,"PAD SET, REAR  ",10
68028824AC        ,"TIE ROD, INNER ",571
68028831AC        ,"TIE ROD, INNER ",798
68029024AB        ,LINK KIT       ,997
68029429K         ,BEARING SET (8),5
68029520AE        ,"MOUNT, SHOCK   ",531
68029521AD        ,"BUMPER, JOUNCE ",2557
68029524AA        ,"BELT, TIMING   ",373
68029590AE        ,"MOUNT, SHOCK   ",1587
68029591AD        ,"BUMPER, JOUNCE ",1953
68029646AE        ,"ISOLATOR,SPRING",2198
68029719AB        ,BLOWER MOTOR   ,4
68029736AA        ,"MODULE, BLOWER ",426
68029829AB        ,KEY            ,4286
68029848AD        ,"CALIPER, RIGHT ",290
68029849AD        ,"CALIPER, LEFT  ",285
68029887AA        ,"PAD SET, REAR  ",10
68029912AE        ,SPRING ASSY    ,67
68029954AA        ,"SHOCK, FRONT   ",8
68029960AA        ,"SHOCK, REAR    ",414
68030654AA        ,"REGULATOR,RIGHT",6
68030655AA        ,"REGULATOR, LEFT",3
68030875AA        ,"MODULE, FUEL   ",52
68030940AA        ,"CAP, LOCKING   ",2466
68031383AA        ,"GASKET SET,UPPE",164
68031388AA        ,"SEAL,CRANKSHAFT",290
68031478AA        ,"BELT KIT,TIMING",520
68031593AA        ,"SENSOR, AIR    ",628
68031597AB        ,"FILTER, OIL    ",555
68031873AA        ,"MOTOR, FAN     ",423
68031956AA        ,"PAD, PEDAL     ",723
68032204AB        ,"FILTER, OIL    ",598
68032207AA        ,O-RING         ,8521
68032253AB        ,"PULLEY, POWER  ",192
68032496AA        ,"LOCK, SIDE BOW ",3674
68032581AD        ,"CABLE, HOOD    ",936
68032944AB        ,"ROTOR, FRONT   ",8
68033045AA        ,"CLIP, APPLIQUE ",1203
68033171AB        ,TIE ROD END    ,929
68033193AA        ,"FILTER, CABIN  ",120
68033227AA        ,RADIATOR       ,6
68033228AA        ,"MODULE, FAN    ",24
68033230AB        ,CONDENSER      ,1
68033237AB        ,CONDENSER      ,3
68033744AB        ,FASCIA         ,15
68033745AB        ,AIR DAM        ,7
68033794AA        ,RETAINER       ,128
68034720AA        ,"ADAPTER,CALIPER",271
68034993AA        ,"PAD SET, REAR  ",15
68035012AB        ,"ROTOR, FRONT   ",114
68035016AB        ,AXLE ASSEMBLY  ,2
68035022AB        ,"ROTOR, REAR    ",105
68035568AA        ,GEAR & PINION  ,3
68035573AA        ,BOLT KIT       ,552
68035574AA        ,"CASE KIT, DIFF.",0
68035575AA        ,"GEAR SET, DIFF.",681
68035581AA        ,GEAR & PINION  ,0
68035642AA        ,CASE ASSEMBLY  ,-26
68036128AA        ,CASE ASSEMBLY  ,1
68036552AA        ,"BUMPER, LATCH  ",9602
68037063AE        ,"SHIELD, ENGINE ",3
68038560AA        ,"BEARING, THRUST",2964
68038761AA        ,GEAR & PINION  ,2
68038826AB        ,BLOWER MOTOR   ,2
68039478AC        ,"SENSOR, CRANK  ",59
68040177AA        ,"ROTOR, FRONT   ",133
68040206AA        ,"TENSIONER, SERP",455
68040225AA        ,TIE ROD END    ,910
68040408AA        ,"MIRROR, RIGHT  ",15
68040680AA        ,"PLUG, OIL DRAIN",2772
68040931AB        ,"SENSOR, CRANK  ",345
68041017AB        ,RELAY          ,336
68041485AD        ,SWITCH         ,-1
68041620AA        ,"RETAINER, RIGHT",364
68041621AA        ,"RETAINER, LEFT ",514
68042171AE        ,"TAIL LAMP, LEFT",2
68042866AB        ,"FILTER, CABIN  ",158
68044869AA        ,CLUTCH SET     ,18
68045151AA        ,"CYLINDER, DOOR ",2046
68045329AA        ,"LINK, TENSION  ",375
68045330AC        ,"LINK, TENSION  ",88
68046026AA        ,WATER PUMP     ,494
68046195AF        ,CONTROL ARM    ,68
68046196AI        ,CONTROL ARM    ,275
68046210AB        ,"RING SET,PISTON",3
68048466AA        ,"NUT, AXLE      ",248
68048467AA        ,"BOLT, ADAPTER  ",1328
68048472AA        ,"GUIDE, AXLE    ",12
68048755AA        ,"BOOSTER, BRAKE ",460
68048757AA        ,MASTER CYLINDER,367
68049018AA        ,"PIN KIT,CALIPER",6168
68050014AA        ,RESISTOR       ,965
68050126AB        ,RADIATOR       ,3
68051638AA        ,"TOE LINK, RIGHT",784
68051639AA        ,"TOE LINK, LEFT ",806
68051842AA        ,"STRUT, RIGHT   ",421
68051843AA        ,"STRUT, LEFT    ",419
68052292AA        ,"DOOR, FILTER   ",1660
68052292K         ,DOOR & FILTER  ,114
68052361AA        ,PISTON KIT     ,33
68052362AB        ,CALIPER RIGHT  ,402
68052363AB        ,"CALIPER, LEFT  ",407
68052365AA        ,BLEEDER SCREW  ,42
68052367AA        ,PIN KIT        ,187
68052368AA        ,"SPRING KIT, BRK",53
68052370AA        ,"PAD SET, BRAKES",36
68052375AA        ,PISTON KIT     ,47
68052376AA        ,"CALIPER, REAR  ",215
68052377AA        ,"CALIPER, REAR  ",214
68052380AA        ,"CALIPER, REAR  ",129
68052381AA        ,"CALIPER, REAR  ",125
68052383AA        ,PIN KIT        ,57
68052386AA        ,"PAD SET, REAR  ",6
68052897AC        ,GEAR ASSEMBLY  ,35
68053132AA        ,"CAP, POWER STEE",4266
68056244AA        ,"DAMPER, CRANK  ",196
68057474AA        ,MASTER CYLINDER,711
68058766AA        ,TPMS HARDWARE  ,256
68059111AA        ,"SUPPORT, LEFT  ",0
68059644AA        ,"REGULATOR, RF  ",0
68059645AA        ,"REGULATOR, LF  ",7
68060366AA        ,"SOCKET, LAMP   ",418
68061369AA        ,"SUPPORT, LIFT  ",5
68064273AB        ,"BUSHING, SHIFT ",3196
68064720AA        ,BRACKET + BULB ,361
68064721AA        ,"LAMP, LICENSE  ",2638
68064763AA        ,"CLUTCH, FAN    ",332
68065503AA        ,"CABLE, BRAKE   ",700
68065575AA        ,"MODULE, FUEL   ",372
68065923AA        ,OIL PAN        ,749
68065923K         ,OIL PAN KIT    ,9
68066486AA        ,"TIE ROD, INNER ",264
68066693AA        ,BRACKET KIT    ,678
68067150AB        ,DIPSTICK       ,948
68068261AA        ,"SUPPORT, GLASS ",24
68069532AA        ,"SENSOR, AIRFLOW",5
68069646AA        ,"TIE ROD END, R ",26
68069647AA        ,"TIE ROD END, L ",23
68069648AB        ,BALL JOINT     ,1120
68069654AB        ,"LINK, SWAY BAR ",193
68069655AB        ,"LINK, SWAY BAR ",27
68069671AC        ,SHOCK ABSORBER ,138
68069675AD        ,"SHOCK, REAR    ",150
68069682AA        ,"LINK, SWAY BAR ",600
68071223AA        ,"CHAIN, TRANSFER",1
68071235AC        ,GEAR MOTOR     ,286
68071668AA        ,"FILTER, CABIN  ",963
68078268AB        ,"FASCIA, UPPER  ",2
68078270AB        ,"FASCIA, LOWER  ",2
68078271AB        ,"FASCIA, FRONT  ",1
68078284AA        ,"BEZEL, RIGHT   ",2853
68078285AA        ,"BEZEL, LEFT    ",2861
68078540AC        ,GASKET SET     ,68
68078584AA        ,"CLIP, SPRING   ",10701
68078604AA        ,GASKET SET     ,1518
68078768AA        ,TPMS SENSOR    ,39
68078776AA        ,"RING SET, STD  ",3
68078861AA        ,"SENSOR, TPMS   ",27
68078950AA        ,ALTERNATOR     ,1
68078951AC        ,"PAN, UPPER     ",89
68078975AB        ,"COOLER, TRANS. ",1
68079246AA        ,TAILGATE       ,697
68079364AC        ,"SUPPORT, RIGHT ",1
68079375AB        ,"SENSOR, CRANK. ",208
68079412AB        ,"PUMP, WATER    ",434
68079480AA        ,"MODULE, BLOWER ",219
68079484AA        ,HEATER CORE    ,7
68079487AA        ,"FILTER, CABIN  ",181
68079589AA        ,"SEAL,CRANKSHAFT",2824
68079654AH        ,REINFORCEMENT  ,13
68079655AH        ,REINFORCEMENT  ,11
68079744AB        ,FILTER KIT     ,1086
68079800AA        ,"RING, LOCK     ",993
68079859AA        ,WIPER BLADE    ,840
68079868AA        ,"WIPER ARM, REAR",977
68079869AA        ,WIPER BLADE    ,890
68079924AA        ,"FENDER, RIGHT  ",6
68079925AA        ,"FENDER, LEFT   ",9
68080335AA        ,BEARING        ,2
68080450AA        ,"BRACKET, PLATE ",5
68080536AA        ,HARNESS KIT    ,14
68080831AA        ,"O-RING KIT,FUEL",30
68080867AA        ,REPAIR KIT     ,960
68081399AB        ,"LAMP, FOG      ",4
68082556AA        ,WIPER BLADE    ,9
68083133AB        ,GASKET         ,1814
68083225AA        ,BEARING        ,-1
68083884AA        ,"SUPPORT, GLASS ",21
68084183AA        ,"SEAL, PINION   ",2873
68084595AA        ,"SEAL, AXLE     ",1400
68085142AB        ,"PIPE, EXHAUST  ",2
68086141AA        ,BRACKET        ,5267
68087340AA        ,GASKET         ,297
68087359AG        ,"SHOCK, FRONT   ",3
68087362AC        ,"SHOCK, REAR    ",340
68087448AC        ,BOLT & RETAINER,685
68087449AB        ,BOLT & RETAINER,720
68087455AA        ,"SEAL, OUTPUT   ",2798
68087900AA        ,"CHAIN, TRANSFER",0
68088040AA        ,"SEAL, HARD TOP ",423
68088043AA        ,"SEAL, LIFTGLASS",424
68088498AD        ,HUB + KNUCKLE  ,280
68088499AD        ,HUB + KNUCKLE  ,394
68088819AA        ,LICENSE BRACKET,9
68088868AA        ,"HEADLAMP, RIGHT",0
68088869AA        ,"HEADLAMP, LEFT ",1
68089039AA        ,"SUPPORT, HOOD  ",5
68091278AB        ,MASTER CYL     ,350
68091398AA        ,"MOUNT, DIFF    ",1163
68091500AD        ,"BOTTLE, COOLANT",51
68091510AA        ,"FASCIA,REAR    ",4
68091511AA        ,"FASCIA, LOWER  ",5
68091512AA        ,"FASCIA, LOWER  ",8
68091521AA        ,"FASCIA, UPPER  ",6
68091523AA        ,"FASCIA, LOWER  ",29
68091524AA        ,"FASCIA, LOWER  ",18
68091772AB        ,"SHIELD, ENGINE ",6
68091827AA        ,"FILTER, OIL    ",636
68091853AA        ,"LINK, KIT      ",714
68093232AA        ,"GASKET, EXHAUST",1459
68095335AA        ,"FILTER, OIL    ",34
68096078AB        ,"BEAM, BUMPER   ",7
68102087AA        ,GLOW PLUG      ,31
68102155AD        ,RESERVOIR      ,12
68102264AF        ,"FENDER LINER, R",14
68102265AF        ,"FENDER LINER, L",12
68102846AE        ,"HEADLAMP, RIGHT",3
68102847AE        ,"HEADLAMP, LEFT ",3
68102906AF        ,"TAILLAMP, R    ",2
68102907AF        ,"TAILLAMP, LEFT ",3
